Sample description: 14-E06 Fab
Sample: 14-E06 Fab  c= 16.0000 mg/ml  Code: FAB1
Parent(s): C:/DOCUME~1/graewert/LOCALS~1/Temp/qt_temp.sv7720
 1.081700e+000  1.216998e+002  1.945536e+000
 1.084340e+000  1.215623e+002  1.944876e+000
 1.086970e+000  1.205301e+002  1.928095e+000
 1.089610e+000  1.177204e+002  1.920644e+000
 1.092240e+000  1.169482e+002  1.915516e+000
 1.094870e+000  1.186679e+002  1.906298e+000
 1.097510e+000  1.161674e+002  1.899766e+000
 1.100140e+000  1.145032e+002  1.887940e+000
 1.102780e+000  1.134031e+002  1.884666e+000
 1.105410e+000  1.128886e+002  1.862968e+000
 1.108050e+000  1.117746e+002  1.865202e+000
 1.110680e+000  1.113665e+002  1.858812e+000
 1.113320e+000  1.104337e+002  1.869726e+000
 1.115950e+000  1.087896e+002  1.844373e+000
 1.118590e+000  1.087941e+002  1.850821e+000
 1.121220e+000  1.101317e+002  1.845411e+000
 1.123860e+000  1.090085e+002  1.855367e+000
 1.126490e+000  1.072937e+002  1.828713e+000
 1.129130e+000  1.074626e+002  1.820430e+000
 1.131760e+000  1.058855e+002  1.808973e+000
 1.134390e+000  1.039319e+002  1.795332e+000
 1.137030e+000  1.032228e+002  1.805863e+000
 1.139660e+000  1.028908e+002  1.788081e+000
 1.142300e+000  1.020023e+002  1.787865e+000
 1.144930e+000  1.030221e+002  1.784164e+000
 1.147570e+000  1.000602e+002  1.772028e+000
 1.150200e+000  9.896216e+001  1.752970e+000
 1.152840e+000  9.872265e+001  1.755629e+000
 1.155470e+000  9.804221e+001  1.744915e+000
 1.158110e+000  9.767057e+001  1.753773e+000
 1.160740e+000  9.582366e+001  1.724368e+000
 1.163380e+000  9.531531e+001  1.735562e+000
 1.166010e+000  9.608535e+001  1.722257e+000
 1.168650e+000  9.471881e+001  1.722602e+000
 1.171280e+000  9.369919e+001  1.716291e+000
 1.173910e+000  9.370560e+001  1.698347e+000
 1.176550e+000  9.199313e+001  1.699918e+000
 1.179180e+000  9.065048e+001  1.679452e+000
 1.181820e+000  9.171474e+001  1.694935e+000
 1.184450e+000  9.192362e+001  1.680912e+000
 1.187090e+000  9.134290e+001  1.686284e+000
 1.189720e+000  8.945080e+001  1.672072e+000
 1.192360e+000  8.903138e+001  1.671821e+000
 1.194990e+000  8.751610e+001  1.651726e+000
 1.197630e+000  8.877774e+001  1.660281e+000
 1.200260e+000  8.760844e+001  1.645794e+000
 1.202900e+000  8.565196e+001  1.641165e+000
 1.205530e+000  8.421994e+001  1.613933e+000
 1.208170e+000  8.449008e+001  1.630982e+000
 1.210800e+000  8.359881e+001  1.616695e+000
 1.213430e+000  8.387805e+001  1.606191e+000
 1.216070e+000  8.358622e+001  1.607895e+000
 1.218700e+000  8.208494e+001  1.588689e+000
 1.221340e+000  7.994078e+001  1.596347e+000
 1.223970e+000  8.022392e+001  1.584465e+000
 1.226610e+000  8.046641e+001  1.592192e+000
 1.229240e+000  8.157872e+001  1.583112e+000
 1.231880e+000  8.080336e+001  1.588505e+000
 1.234510e+000  7.958047e+001  1.580987e+000
 1.237150e+000  7.776869e+001  1.579228e+000
 1.239780e+000  7.695162e+001  1.563460e+000
 1.242420e+000  7.931275e+001  1.582917e+000
 1.245050e+000  7.784876e+001  1.580642e+000
 1.247680e+000  7.530739e+001  1.556207e+000
 1.250320e+000  7.371006e+001  1.547410e+000
 1.252950e+000  7.393638e+001  1.540384e+000
 1.255590e+000  7.474829e+001  1.547409e+000
 1.258220e+000  7.494127e+001  1.544683e+000
 1.260860e+000  7.371185e+001  1.540220e+000
 1.263490e+000  7.308910e+001  1.524468e+000
 1.266130e+000  7.170404e+001  1.522233e+000
 1.268760e+000  7.246545e+001  1.517875e+000
 1.271400e+000  7.363545e+001  1.530188e+000
 1.274030e+000  7.314197e+001  1.512942e+000
 1.276670e+000  7.132986e+001  1.512911e+000
 1.279300e+000  7.045275e+001  1.505698e+000
 1.281940e+000  6.846955e+001  1.497493e+000
 1.284570e+000  6.850817e+001  1.488085e+000
 1.287200e+000  6.829864e+001  1.475444e+000
 1.289840e+000  6.811754e+001  1.487701e+000
 1.292470e+000  6.680486e+001  1.473461e+000
 1.295110e+000  6.691021e+001  1.475552e+000
 1.297740e+000  6.840132e+001  1.467482e+000
 1.300380e+000  6.966792e+001  1.486653e+000
 1.303010e+000  6.973021e+001  1.481960e+000
 1.305650e+000  6.681454e+001  1.470441e+000
