Sample description: Sub_Ave_harp_0077_803-Ave_Tp_0076_50
Sample: Sub_Ave_harp_00  c= 0 mg/ml  Code: 
 2.994075e+000  2.788971e-004  2.121711e-005
 2.999693e+000  2.955397e-004  2.121407e-005
 3.005311e+000  2.372963e-004  2.117637e-005
 3.010928e+000  2.278838e-004  2.116694e-005
 3.016546e+000  2.065341e-004  2.116108e-005
 3.022163e+000  2.747495e-004  2.115051e-005
 3.027781e+000  3.491173e-004  2.115029e-005
 3.033398e+000  3.269412e-004  2.112335e-005
 3.039015e+000  2.759678e-004  2.112382e-005
 3.044633e+000  2.960031e-004  2.109601e-005
 3.050250e+000  3.236861e-004  2.111955e-005
 3.055867e+000  2.750569e-004  2.107910e-005
 3.061484e+000  2.399905e-004  2.103495e-005
 3.067101e+000  2.407016e-004  2.105675e-005
 3.072718e+000  2.521568e-004  2.102019e-005
 3.078335e+000  2.395144e-004  2.100944e-005
 3.083952e+000  2.260203e-004  2.098382e-005
 3.089569e+000  2.646299e-004  2.097085e-005
 3.095185e+000  2.758815e-004  2.098226e-005
 3.100802e+000  3.147526e-004  2.096463e-005
 3.106418e+000  2.553782e-004  2.097255e-005
 3.112035e+000  2.096088e-004  2.092457e-005
 3.117652e+000  2.239588e-004  2.092122e-005
 3.123268e+000  2.754719e-004  2.091672e-005
 3.128884e+000  3.169493e-004  2.087876e-005
