Sample description: Sub_Ave_arc4_0073_818-Ave_Tp_0072_315
Sample: Sub_Ave_arc4_00  c= 0 mg/ml  Code: 
 2.960366e+000  1.089236e-004  2.260035e-005
 2.965984e+000  9.283493e-005  2.257877e-005
 2.971602e+000  7.286500e-005  2.258056e-005
 2.977220e+000  9.162718e-005  2.255325e-005
 2.982838e+000  1.002366e-004  2.254555e-005
 2.988456e+000  1.125863e-004  2.255055e-005
 2.994073e+000  1.029054e-004  2.251235e-005
 2.999691e+000  1.195110e-004  2.251083e-005
 3.005309e+000  1.627982e-004  2.249323e-005
 3.010926e+000  1.005352e-004  2.246023e-005
 3.016544e+000  6.625019e-005  2.244908e-005
 3.022161e+000  8.998757e-006  2.241918e-005
 3.027779e+000  3.043914e-005  2.240996e-005
 3.033396e+000  1.237204e-004  2.241483e-005
 3.039013e+000  1.564151e-004  2.242357e-005
 3.044631e+000  1.772255e-004  2.239456e-005
 3.050248e+000  1.586288e-004  2.240500e-005
 3.055865e+000  1.057091e-004  2.236588e-005
 3.061482e+000  6.356641e-005  2.231677e-005
 3.067099e+000  9.991407e-005  2.234163e-005
 3.072716e+000  1.541791e-004  2.233145e-005
 3.078333e+000  1.749549e-004  2.233534e-005
 3.083950e+000  1.402264e-004  2.229543e-005
 3.089567e+000  7.658569e-005  2.226250e-005
 3.095183e+000  7.878972e-005  2.225971e-005
 3.100800e+000  8.906372e-005  2.223634e-005
 3.106416e+000  1.371397e-004  2.227490e-005
 3.112033e+000  1.364823e-004  2.222988e-005
 3.117649e+000  9.744976e-005  2.222078e-005
 3.123266e+000  7.673509e-005  2.218735e-005
 3.128882e+000  7.062763e-005  2.213677e-005
