Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: HiswoC1
Parent(s): mono_127_cut.dat mono_125_cut.dat mono_123_cut.dat
 1.248660e+000  3.704550e+000  1.758157e-001
 1.251390e+000  3.005025e+000  1.817485e-001
 1.254130e+000  3.415675e+000  1.844040e-001
 1.256860e+000  3.239575e+000  1.821486e-001
 1.259600e+000  3.225950e+000  1.837867e-001
 1.262330e+000  3.516100e+000  1.935527e-001
 1.265070e+000  3.372150e+000  1.778262e-001
 1.267800e+000  3.448950e+000  1.751065e-001
 1.270540e+000  3.414050e+000  1.641606e-001
 1.273270e+000  3.278900e+000  1.645866e-001
 1.276010e+000  3.312275e+000  1.591137e-001
 1.278740e+000  3.543425e+000  1.611169e-001
 1.281480e+000  3.166875e+000  1.573790e-001
 1.284210e+000  3.050475e+000  1.563267e-001
 1.286950e+000  3.177275e+000  1.521648e-001
 1.289680e+000  3.247425e+000  1.538900e-001
 1.292420e+000  3.309175e+000  1.534570e-001
 1.295150e+000  2.993475e+000  1.560817e-001
 1.297890e+000  3.065550e+000  1.488618e-001
 1.300620e+000  2.910750e+000  1.539889e-001
 1.303360e+000  2.897675e+000  1.514668e-001
 1.306090e+000  3.020675e+000  1.497346e-001
 1.308830e+000  2.926125e+000  1.519543e-001
 1.311570e+000  3.270375e+000  1.535162e-001
 1.314300e+000  2.851925e+000  1.534709e-001
 1.317040e+000  2.810250e+000  1.476078e-001
 1.319770e+000  2.966925e+000  1.497926e-001
 1.322510e+000  2.631650e+000  1.523280e-001
 1.325240e+000  2.878525e+000  1.523205e-001
 1.327980e+000  2.950700e+000  1.500589e-001
 1.330710e+000  2.887325e+000  1.540993e-001
 1.333450e+000  2.888500e+000  1.479965e-001
 1.336180e+000  2.687625e+000  1.510200e-001
 1.338920e+000  2.989025e+000  1.526108e-001
 1.341650e+000  2.598275e+000  1.466113e-001
 1.344390e+000  2.552900e+000  1.469978e-001
 1.347120e+000  2.649050e+000  1.502026e-001
 1.349860e+000  2.649750e+000  1.493253e-001
