 08-Dec-2011       (ela_006.dat - 1.0*Aver(ela_005.dat,ela_007.dat) /  1.8000 
 ela_006.dat  Conc = .18E+01  N1 =    1  N2 = 2170
 ela_005.dat  Conc = 0.0d+0   N1 =    1  N2 = 2170
 ela_007.dat  Conc = 0.0d+0   N1 =    1  N2 = 2170
  0.140633E+01  0.119008E+01  0.231513E+00
  0.140907E+01  0.104194E+01  0.225914E+00
  0.141181E+01  0.681889E+00  0.227703E+00
  0.141455E+01  0.143736E+01  0.229708E+00
  0.141729E+01  0.106533E+01  0.234518E+00
  0.142003E+01  0.111661E+01  0.225569E+00
  0.142277E+01  0.109106E+01  0.228773E+00
  0.142551E+01  0.109581E+01  0.229441E+00
  0.142825E+01  0.712056E+00  0.228642E+00
  0.143099E+01  0.102061E+01  0.228246E+00
  0.143373E+01  0.869194E+00  0.229535E+00
  0.143647E+01  0.127939E+01  0.228223E+00
  0.143921E+01  0.897083E+00  0.233103E+00
  0.144195E+01  0.870500E+00  0.229007E+00
  0.144469E+01  0.115683E+01  0.229153E+00
  0.144743E+01  0.109269E+01  0.222729E+00
  0.145017E+01  0.923833E+00  0.225702E+00
  0.145291E+01  0.672750E+00  0.229022E+00
  0.145565E+01  0.110783E+01  0.231097E+00
  0.145839E+01  0.975944E+00  0.226670E+00
  0.146113E+01  0.659917E+00  0.224814E+00
  0.146387E+01  0.795778E+00  0.231544E+00
  0.146661E+01  0.674306E+00  0.226744E+00
  0.146935E+01  0.116550E+01  0.230560E+00
  0.147209E+01  0.940472E+00  0.229387E+00
  0.147483E+01  0.108489E+01  0.227521E+00
  0.147757E+01  0.951250E+00  0.228362E+00
  0.148032E+01  0.100017E+01  0.227120E+00
  0.148306E+01  0.106956E+01  0.225359E+00
  0.148580E+01  0.752833E+00  0.222829E+00
  0.148854E+01  0.914278E+00  0.226696E+00
  0.149128E+01  0.101325E+01  0.226510E+00
  0.149402E+01  0.627972E+00  0.222428E+00
  0.149676E+01  0.656944E+00  0.224871E+00
  0.149950E+01  0.548861E+00  0.223329E+00
  0.150224E+01  0.780694E+00  0.223062E+00
