Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: anx
Parent(s): sub_anxa4_016.dat sub_anxa4_010.dat sub_anxa4_008.dat
  1.117000e+00   5.011660e+00   8.288178e-02
  1.120000e+00   4.808985e+00   8.082239e-02
  1.122000e+00   4.684499e+00   7.998403e-02
  1.125000e+00   4.639575e+00   8.079158e-02
  1.128000e+00   4.711248e+00   8.040303e-02
  1.130000e+00   4.800412e+00   8.051217e-02
  1.133000e+00   4.821674e+00   8.091435e-02
  1.135000e+00   4.668381e+00   7.972451e-02
  1.138000e+00   4.750343e+00   7.953695e-02
  1.141000e+00   4.646091e+00   7.954303e-02
  1.143000e+00   4.414266e+00   7.865185e-02
  1.146000e+00   4.495199e+00   8.000540e-02
  1.148000e+00   4.368313e+00   7.905874e-02
  1.151000e+00   4.328532e+00   7.871329e-02
  1.153000e+00   4.451646e+00   7.893918e-02
  1.156000e+00   4.458848e+00   7.913147e-02
  1.159000e+00   4.308642e+00   7.798886e-02
  1.161000e+00   4.209534e+00   7.757100e-02
  1.164000e+00   4.176612e+00   7.815930e-02
  1.166000e+00   4.122085e+00   7.634047e-02
  1.169000e+00   4.107682e+00   7.652897e-02
  1.172000e+00   4.089849e+00   7.708447e-02
  1.174000e+00   4.241084e+00   7.678265e-02
  1.177000e+00   4.053498e+00   7.536698e-02
  1.179000e+00   3.852881e+00   7.532342e-02
  1.182000e+00   3.886145e+00   7.451465e-02
  1.184000e+00   3.996571e+00   7.615453e-02
  1.187000e+00   3.910494e+00   7.515123e-02
  1.190000e+00   3.788066e+00   7.466529e-02
  1.192000e+00   3.804184e+00   7.527494e-02
  1.195000e+00   3.905007e+00   7.537440e-02
  1.197000e+00   3.741427e+00   7.565620e-02
  1.200000e+00   3.875857e+00   7.347333e-02
  1.203000e+00   3.634774e+00   7.435173e-02
  1.205000e+00   3.653635e+00   7.489616e-02
  1.208000e+00   3.587449e+00   7.506366e-02
  1.210000e+00   3.534294e+00   7.430678e-02
  1.213000e+00   3.496571e+00   7.425942e-02
  1.215000e+00   3.553498e+00   7.439508e-02
  1.218000e+00   3.371056e+00   7.462182e-02
  1.221000e+00   3.573388e+00   7.321940e-02
  1.223000e+00   3.524348e+00   7.443464e-02
  1.226000e+00   3.418381e+00   7.369449e-02
  1.228000e+00   3.466392e+00   7.451033e-02
  1.231000e+00   3.258573e+00   7.304529e-02
  1.234000e+00   3.272634e+00   7.383479e-02
