Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: Lytawt
Parent(s): lytawt_zc_new.dat
 1.150200e+000  4.217770e+000  1.153240e-001
 1.152930e+000  4.036320e+000  1.140680e-001
 1.155670e+000  4.283130e+000  1.198270e-001
 1.158400e+000  4.123080e+000  1.175100e-001
 1.161140e+000  4.105140e+000  1.195480e-001
 1.163870e+000  4.155510e+000  1.167860e-001
 1.166610e+000  4.034440e+000  1.159700e-001
 1.169340e+000  4.054660e+000  1.183820e-001
 1.172080e+000  3.989860e+000  1.153300e-001
 1.174810e+000  3.923750e+000  1.162950e-001
 1.177550e+000  3.887420e+000  1.162120e-001
 1.180280e+000  3.977520e+000  1.158790e-001
 1.183020e+000  4.028100e+000  1.195080e-001
 1.185750e+000  3.787120e+000  1.150220e-001
 1.188490e+000  3.954090e+000  1.171020e-001
 1.191220e+000  3.849730e+000  1.179560e-001
 1.193960e+000  3.663180e+000  1.148890e-001
 1.196690e+000  3.809740e+000  1.160020e-001
 1.199430e+000  3.787100e+000  1.133830e-001
 1.202160e+000  3.817310e+000  1.174760e-001
 1.204900e+000  3.826770e+000  1.156580e-001
 1.207630e+000  4.017960e+000  1.172420e-001
 1.210370e+000  3.738680e+000  1.152310e-001
 1.213100e+000  3.664610e+000  1.152080e-001
 1.215840e+000  3.783790e+000  1.185080e-001
 1.221310e+000  3.553440e+000  1.151590e-001
 1.224040e+000  3.614730e+000  1.159860e-001
 1.226780e+000  3.715040e+000  1.186020e-001
 1.229510e+000  3.627930e+000  1.143610e-001
 1.232250e+000  3.740610e+000  1.232390e-001
 1.234980e+000  3.590800e+000  1.258630e-001
 1.237720e+000  3.456530e+000  1.297790e-001
 1.240450e+000  3.425850e+000  1.290890e-001
 1.243190e+000  3.539290e+000  1.328330e-001
 1.245920e+000  3.360590e+000  1.373880e-001
 1.248660e+000  3.165180e+000  1.357100e-001
 1.251390e+000  3.423760e+000  1.407190e-001
 1.254130e+000  3.430800e+000  1.429870e-001
 1.256860e+000  3.400240e+000  1.401700e-001
 1.259600e+000  3.502760e+000  1.421680e-001
 1.262330e+000  3.433270e+000  1.489780e-001
 1.265070e+000  3.212470e+000  1.370680e-001
 1.267800e+000  3.477040e+000  1.351120e-001
 1.270540e+000  3.143600e+000  1.247950e-001
 1.273270e+000  3.217340e+000  1.265300e-001
 1.276010e+000  3.215080e+000  1.217250e-001
 1.278740e+000  3.091740e+000  1.228310e-001
 1.281480e+000  3.167290e+000  1.215860e-001
 1.284210e+000  3.226030e+000  1.193260e-001
 1.286950e+000  3.163890e+000  1.171200e-001
 1.289680e+000  3.199430e+000  1.173870e-001
 1.292420e+000  3.063460e+000  1.171120e-001
 1.295150e+000  3.373590e+000  1.206000e-001
 1.297890e+000  2.874640e+000  1.134280e-001
 1.300620e+000  2.973190e+000  1.167500e-001
 1.303360e+000  3.148870e+000  1.161370e-001
 1.306090e+000  2.904450e+000  1.137480e-001
 1.308830e+000  2.995600e+000  1.161690e-001
 1.311570e+000  3.126720e+000  1.189690e-001
 1.314300e+000  3.051060e+000  1.178830e-001
 1.317040e+000  2.835910e+000  1.131670e-001
 1.319770e+000  3.092080e+000  1.151980e-001
 1.322510e+000  3.197990e+000  1.173290e-001
 1.325240e+000  2.975880e+000  1.171350e-001
 1.327980e+000  2.905450e+000  1.143490e-001
 1.330710e+000  2.877880e+000  1.177800e-001
 1.333450e+000  2.825850e+000  1.128790e-001
 1.336180e+000  3.014830e+000  1.166960e-001
 1.338920e+000  2.739930e+000  1.158300e-001
 1.341650e+000  2.816230e+000  1.120170e-001
 1.344390e+000  2.851750e+000  1.127210e-001
 1.347120e+000  2.960010e+000  1.158510e-001
 1.349860e+000  2.674120e+000  1.147200e-001
 1.352590e+000  2.862900e+000  1.143690e-001
 1.355330e+000  2.941130e+000  1.143830e-001
 1.358060e+000  2.705900e+000  1.129060e-001
 1.360800e+000  2.876750e+000  1.114170e-001
 1.363530e+000  2.655770e+000  1.128300e-001
 1.366270e+000  2.828290e+000  1.108990e-001
 1.369000e+000  2.780620e+000  1.148160e-001
 1.371740e+000  3.033580e+000  1.160890e-001
 1.374470e+000  2.955680e+000  1.138220e-001
 1.377210e+000  2.563800e+000  1.122740e-001
 1.379940e+000  2.663770e+000  1.099100e-001
 1.382680e+000  2.836360e+000  1.151420e-001
 1.385410e+000  2.700460e+000  1.123200e-001
 1.388150e+000  2.373840e+000  1.114940e-001
 1.390880e+000  2.689330e+000  1.129630e-001
 1.393620e+000  2.763400e+000  1.163920e-001
 1.396350e+000  2.688280e+000  1.134880e-001
 1.399090e+000  2.559790e+000  1.109160e-001
 1.401820e+000  2.663580e+000  1.142940e-001
 1.404560e+000  2.479330e+000  1.118160e-001
 1.407290e+000  2.610060e+000  1.125340e-001
 1.410030e+000  2.639630e+000  1.119450e-001
 1.412760e+000  2.493350e+000  1.116560e-001
 1.415500e+000  2.537320e+000  1.128470e-001
 1.418230e+000  2.507520e+000  1.130330e-001
 1.420970e+000  2.339960e+000  1.101100e-001
 1.423700e+000  2.517970e+000  1.124370e-001
 1.426440e+000  2.630110e+000  1.152730e-001
 1.429170e+000  2.610800e+000  1.107680e-001
 1.431910e+000  2.515550e+000  1.090770e-001
 1.434640e+000  2.616060e+000  1.138790e-001
 1.437380e+000  2.419560e+000  1.103990e-001
 1.440110e+000  2.347270e+000  1.099190e-001
 1.442850e+000  2.487580e+000  1.092510e-001
 1.445580e+000  2.324990e+000  1.137340e-001
 1.448320e+000  2.451610e+000  1.142750e-001
 1.451050e+000  2.430440e+000  1.117130e-001
 1.453790e+000  2.281900e+000  1.107220e-001
 1.456520e+000  2.384440e+000  1.088950e-001
 1.459260e+000  2.443840e+000  1.106570e-001
 1.461990e+000  2.322320e+000  1.091510e-001
 1.464730e+000  2.323090e+000  1.122180e-001
 1.467470e+000  2.366720e+000  1.106630e-001
 1.470200e+000  2.562200e+000  1.113410e-001
 1.472940e+000  2.254730e+000  1.106310e-001
 1.475670e+000  2.269720e+000  1.139160e-001
 1.478410e+000  2.396690e+000  1.100260e-001
 1.481140e+000  2.267690e+000  1.092230e-001
 1.483880e+000  2.180340e+000  1.068010e-001
 1.486610e+000  2.184010e+000  1.089830e-001
 1.489350e+000  2.214160e+000  1.082710e-001
 1.492080e+000  2.276690e+000  1.091150e-001
 1.494820e+000  2.190260e+000  1.078760e-001
 1.497550e+000  2.176510e+000  1.065450e-001
 1.500290e+000  2.059030e+000  1.052210e-001
 1.503020e+000  2.119210e+000  1.070020e-001
 1.505760e+000  2.375830e+000  1.100550e-001
 1.508490e+000  2.079960e+000  1.073140e-001
 1.511230e+000  2.179290e+000  1.073140e-001
 1.513960e+000  2.198840e+000  1.078560e-001
 1.516700e+000  2.193790e+000  1.088180e-001
 1.519430e+000  2.263000e+000  1.105050e-001
 1.522170e+000  2.179770e+000  1.107570e-001
 1.524900e+000  2.066450e+000  1.075370e-001
 1.527640e+000  1.994130e+000  1.093290e-001
 1.530370e+000  1.920210e+000  1.071090e-001
 1.533110e+000  2.099450e+000  1.084170e-001
 1.535840e+000  2.107770e+000  1.076230e-001
 1.538580e+000  2.028880e+000  1.060910e-001
 1.541310e+000  1.974650e+000  1.059110e-001
 1.544050e+000  2.189900e+000  1.103940e-001
 1.546780e+000  1.936540e+000  1.061040e-001
 1.549520e+000  2.152140e+000  1.065160e-001
 1.552250e+000  2.020580e+000  1.090360e-001
 1.554990e+000  1.898270e+000  1.070620e-001
 1.557720e+000  1.991010e+000  1.076440e-001
 1.560460e+000  2.006830e+000  1.065330e-001
 1.563190e+000  2.049740e+000  1.085480e-001
 1.565930e+000  1.881500e+000  1.055560e-001
 1.568660e+000  1.856380e+000  1.069820e-001
 1.571400e+000  2.217170e+000  1.080480e-001
 1.574130e+000  1.889970e+000  1.061730e-001
 1.576870e+000  1.944160e+000  1.081380e-001
 1.579600e+000  2.073910e+000  1.060490e-001
 1.582340e+000  1.960440e+000  1.084690e-001
 1.585070e+000  1.935130e+000  1.090630e-001
 1.587810e+000  1.860320e+000  1.040470e-001
 1.590540e+000  1.896570e+000  1.095110e-001
 1.593280e+000  1.692650e+000  1.045840e-001
 1.596010e+000  1.780090e+000  1.031590e-001
 1.598750e+000  1.814510e+000  1.057270e-001
 1.601480e+000  1.822400e+000  1.061140e-001
 1.604220e+000  1.687180e+000  1.062690e-001
 1.606950e+000  1.653270e+000  1.020330e-001
 1.609690e+000  1.692190e+000  1.040770e-001
 1.612420e+000  1.717130e+000  1.047360e-001
 1.615160e+000  1.591660e+000  1.067370e-001
 1.617890e+000  1.661840e+000  1.012110e-001
 1.620630e+000  1.847670e+000  1.086840e-001
 1.623360e+000  1.684370e+000  1.058850e-001
 1.626100e+000  1.722450e+000  1.051730e-001
 1.628840e+000  1.773340e+000  1.043780e-001
 1.631570e+000  1.513120e+000  1.040360e-001
 1.634310e+000  1.872240e+000  1.060330e-001
 1.637040e+000  1.576570e+000  1.044350e-001
 1.639780e+000  1.558200e+000  1.058140e-001
 1.642510e+000  1.520600e+000  1.050030e-001
 1.645250e+000  1.565950e+000  1.053820e-001
 1.647980e+000  1.626080e+000  1.047950e-001
 1.650720e+000  1.544380e+000  1.040730e-001
 1.653450e+000  1.755370e+000  1.029550e-001
 1.656190e+000  1.649550e+000  1.056980e-001
 1.658920e+000  1.713460e+000  1.051650e-001
 1.661660e+000  1.325480e+000  1.043960e-001
 1.664390e+000  1.532440e+000  1.022030e-001
 1.667130e+000  1.507630e+000  1.044350e-001
