 22-Oct-2005       (fran2_059.dat - 1.000 *fran2_060.dat) /  2.5000
fran2_059.da  Conc = .25E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
 an2_060.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
  0.864861E+00  0.264140E+06  0.445928E+04
  0.867110E+00  0.255792E+06  0.442635E+04
  0.869360E+00  0.257108E+06  0.443592E+04
  0.871610E+00  0.251600E+06  0.444275E+04
  0.873859E+00  0.252536E+06  0.438382E+04
  0.876109E+00  0.264896E+06  0.443487E+04
  0.878359E+00  0.251124E+06  0.438592E+04
  0.880609E+00  0.248724E+06  0.437493E+04
  0.882858E+00  0.247660E+06  0.437244E+04
  0.885108E+00  0.247420E+06  0.435340E+04
  0.887358E+00  0.256332E+06  0.440902E+04
  0.889607E+00  0.246000E+06  0.434885E+04
  0.891857E+00  0.241376E+06  0.435180E+04
  0.894107E+00  0.247380E+06  0.435763E+04
  0.896356E+00  0.241096E+06  0.437506E+04
  0.898606E+00  0.237948E+06  0.435107E+04
  0.900856E+00  0.226880E+06  0.430540E+04
  0.903106E+00  0.230568E+06  0.434046E+04
  0.905355E+00  0.224940E+06  0.432382E+04
  0.907605E+00  0.224256E+06  0.434092E+04
  0.909855E+00  0.221492E+06  0.431449E+04
  0.912104E+00  0.224472E+06  0.428454E+04
  0.914354E+00  0.222180E+06  0.432256E+04
  0.916604E+00  0.221956E+06  0.429874E+04
  0.918853E+00  0.225528E+06  0.430911E+04
  0.921103E+00  0.225844E+06  0.425874E+04
  0.923353E+00  0.219872E+06  0.429230E+04
  0.925603E+00  0.222376E+06  0.427755E+04
  0.927852E+00  0.214928E+06  0.425089E+04
  0.930102E+00  0.220292E+06  0.428169E+04
  0.932352E+00  0.217584E+06  0.423114E+04
  0.934601E+00  0.209224E+06  0.427199E+04
  0.936851E+00  0.211988E+06  0.423563E+04
  0.939101E+00  0.211944E+06  0.421324E+04
  0.941350E+00  0.211108E+06  0.425244E+04
  0.943600E+00  0.207452E+06  0.420253E+04
  0.945850E+00  0.195112E+06  0.425303E+04
  0.948099E+00  0.188320E+06  0.421853E+04
  0.950349E+00  0.189500E+06  0.421193E+04
  0.952599E+00  0.191848E+06  0.421209E+04
  0.954849E+00  0.199432E+06  0.418746E+04
  0.957098E+00  0.200520E+06  0.421960E+04
  0.959348E+00  0.202172E+06  0.416021E+04
  0.961598E+00  0.194456E+06  0.420056E+04
  0.963847E+00  0.191224E+06  0.418809E+04
  0.966097E+00  0.194000E+06  0.414789E+04
  0.968347E+00  0.191848E+06  0.417975E+04
  0.970596E+00  0.187984E+06  0.414624E+04
  0.972846E+00  0.184736E+06  0.418047E+04
  0.975096E+00  0.187544E+06  0.415537E+04
  0.977346E+00  0.184172E+06  0.414289E+04
  0.979595E+00  0.190680E+06  0.415074E+04
  0.981845E+00  0.190020E+06  0.412313E+04
  0.984095E+00  0.178960E+06  0.414183E+04
  0.986344E+00  0.175716E+06  0.411505E+04
  0.988594E+00  0.175728E+06  0.412488E+04
  0.990844E+00  0.165096E+06  0.414186E+04
