 05-Nov-2009       (filippo_024.dat - 1.0*filippo_025.dat) /  5.0000          
filippo_024.  Conc = .50E+01  N1 =    1  N2 = 2310
filippo_025.  Conc = 0.0d+0   N1 =    1  N2 = 2310
  0.117118E+01  0.333112E+01  0.969354E-01
  0.117385E+01  0.329050E+01  0.960498E-01
  0.117652E+01  0.315014E+01  0.102442E+00
  0.117918E+01  0.317474E+01  0.106844E+00
  0.118185E+01  0.336068E+01  0.110287E+00
  0.118452E+01  0.335560E+01  0.114131E+00
  0.118719E+01  0.295900E+01  0.115845E+00
  0.118986E+01  0.321512E+01  0.119191E+00
  0.119252E+01  0.304718E+01  0.122626E+00
  0.119519E+01  0.295292E+01  0.121930E+00
  0.119786E+01  0.310378E+01  0.125397E+00
  0.120053E+01  0.315832E+01  0.126353E+00
  0.120319E+01  0.306378E+01  0.128242E+00
  0.120586E+01  0.296846E+01  0.130803E+00
  0.120853E+01  0.306114E+01  0.114822E+00
  0.121120E+01  0.279926E+01  0.109342E+00
  0.121386E+01  0.296756E+01  0.107632E+00
  0.121653E+01  0.266944E+01  0.105134E+00
  0.121920E+01  0.287776E+01  0.103097E+00
  0.122187E+01  0.284844E+01  0.101074E+00
  0.122453E+01  0.276384E+01  0.101450E+00
  0.122720E+01  0.254634E+01  0.988184E-01
  0.122987E+01  0.276294E+01  0.985010E-01
  0.123254E+01  0.248336E+01  0.990389E-01
  0.123520E+01  0.266284E+01  0.983676E-01
  0.123787E+01  0.254564E+01  0.988731E-01
  0.124054E+01  0.250716E+01  0.988707E-01
  0.124321E+01  0.265848E+01  0.997913E-01
  0.124588E+01  0.264528E+01  0.100031E+00
  0.124854E+01  0.238812E+01  0.994006E-01
  0.125121E+01  0.259190E+01  0.100443E+00
  0.125388E+01  0.258416E+01  0.998372E-01
  0.125655E+01  0.260252E+01  0.995962E-01
  0.125921E+01  0.242930E+01  0.100421E+00
  0.126188E+01  0.237702E+01  0.995749E-01
  0.126455E+01  0.238534E+01  0.985736E-01
  0.126722E+01  0.232154E+01  0.992712E-01
  0.126988E+01  0.249040E+01  0.992513E-01
  0.127255E+01  0.252062E+01  0.100077E+00
  0.127522E+01  0.247784E+01  0.980426E-01
  0.127789E+01  0.247920E+01  0.988819E-01
  0.128055E+01  0.225786E+01  0.100011E+00
  0.128322E+01  0.238830E+01  0.990347E-01
  0.128589E+01  0.223822E+01  0.984500E-01
  0.128856E+01  0.234826E+01  0.990908E-01
  0.129122E+01  0.227774E+01  0.982262E-01
  0.129389E+01  0.222902E+01  0.989421E-01
  0.129656E+01  0.211110E+01  0.985164E-01
  0.129923E+01  0.213832E+01  0.979109E-01
  0.130190E+01  0.221284E+01  0.986607E-01
  0.130456E+01  0.219948E+01  0.988240E-01
  0.130723E+01  0.234230E+01  0.989068E-01
  0.130990E+01  0.211710E+01  0.971884E-01
  0.131257E+01  0.203630E+01  0.981618E-01
  0.131523E+01  0.220862E+01  0.982968E-01
  0.131790E+01  0.215102E+01  0.984537E-01
  0.132057E+01  0.224638E+01  0.992679E-01
  0.132324E+01  0.209840E+01  0.975994E-01
  0.132590E+01  0.199668E+01  0.976705E-01
  0.132857E+01  0.214712E+01  0.983273E-01
  0.133124E+01  0.198420E+01  0.977957E-01
  0.133391E+01  0.217272E+01  0.990819E-01
  0.133657E+01  0.195704E+01  0.971644E-01
  0.133924E+01  0.206702E+01  0.977954E-01
  0.134191E+01  0.195838E+01  0.973055E-01
  0.134458E+01  0.198496E+01  0.979507E-01
  0.134725E+01  0.203862E+01  0.985650E-01
  0.134991E+01  0.202184E+01  0.981537E-01
  0.135258E+01  0.190106E+01  0.978514E-01
  0.135525E+01  0.204496E+01  0.971713E-01
  0.135792E+01  0.215034E+01  0.974803E-01
  0.136058E+01  0.199802E+01  0.976506E-01
  0.136325E+01  0.198938E+01  0.978515E-01
  0.136592E+01  0.193406E+01  0.970371E-01
  0.136859E+01  0.195484E+01  0.970972E-01
  0.137125E+01  0.182272E+01  0.982870E-01
  0.137392E+01  0.189558E+01  0.971549E-01
  0.137659E+01  0.178900E+01  0.971520E-01
  0.137926E+01  0.186500E+01  0.971164E-01
  0.138192E+01  0.165384E+01  0.979823E-01
  0.138459E+01  0.189582E+01  0.968657E-01
  0.138726E+01  0.182512E+01  0.974850E-01
  0.138993E+01  0.174294E+01  0.975085E-01
  0.139259E+01  0.177920E+01  0.969136E-01
  0.139526E+01  0.185056E+01  0.977326E-01
  0.139793E+01  0.177360E+01  0.970806E-01
  0.140060E+01  0.176988E+01  0.964899E-01
  0.140327E+01  0.177784E+01  0.978967E-01
  0.140593E+01  0.182504E+01  0.971209E-01
  0.140860E+01  0.160898E+01  0.969766E-01
  0.141127E+01  0.152080E+01  0.962423E-01
  0.141394E+01  0.169832E+01  0.970569E-01
  0.141660E+01  0.164446E+01  0.973924E-01
  0.141927E+01  0.158204E+01  0.971000E-01
  0.142194E+01  0.175906E+01  0.964597E-01
  0.142461E+01  0.166490E+01  0.965240E-01
  0.142727E+01  0.178624E+01  0.967464E-01
  0.142994E+01  0.161226E+01  0.971340E-01
  0.143261E+01  0.150770E+01  0.970961E-01
  0.143528E+01  0.159298E+01  0.965592E-01
  0.143794E+01  0.149944E+01  0.962375E-01
  0.144061E+01  0.182608E+01  0.954794E-01
  0.144328E+01  0.161576E+01  0.961394E-01
  0.144595E+01  0.166752E+01  0.950667E-01
  0.144861E+01  0.170114E+01  0.957754E-01
  0.145128E+01  0.145146E+01  0.949577E-01
  0.145395E+01  0.151752E+01  0.949877E-01
  0.145662E+01  0.140232E+01  0.933012E-01
  0.145929E+01  0.164648E+01  0.936752E-01
  0.146195E+01  0.161236E+01  0.937687E-01
  0.146462E+01  0.160518E+01  0.942803E-01
  0.146729E+01  0.124772E+01  0.927456E-01
  0.146996E+01  0.144914E+01  0.941012E-01
  0.147262E+01  0.146722E+01  0.936865E-01
  0.147529E+01  0.159204E+01  0.936917E-01
  0.147796E+01  0.151976E+01  0.937602E-01
  0.148063E+01  0.159134E+01  0.935821E-01
  0.148329E+01  0.144524E+01  0.941704E-01
  0.148596E+01  0.151360E+01  0.931379E-01
  0.148863E+01  0.158816E+01  0.940267E-01
  0.149130E+01  0.141968E+01  0.933116E-01
  0.149396E+01  0.148214E+01  0.936058E-01
  0.149663E+01  0.154900E+01  0.939899E-01
  0.149930E+01  0.132644E+01  0.936761E-01
  0.150197E+01  0.136038E+01  0.937082E-01
  0.150464E+01  0.146654E+01  0.929240E-01
  0.150730E+01  0.148514E+01  0.942977E-01
  0.150997E+01  0.136464E+01  0.933851E-01
