 02-Dec-2007       (gue_056.dat - 1.0*gue_057.dat) /  3.0000                  
 gue_056.dat  Conc = .30E+01  N1 =    1  N2 =  872
 gue_057.dat  Conc = 0.0d+0   N1 =    1  N2 =  872
  0.115811E+01  0.460033E-02  0.808126E-03
  0.116079E+01  0.347300E-02  0.814851E-03
  0.116347E+01  0.329067E-02  0.812091E-03
  0.116616E+01  0.253667E-02  0.799364E-03
  0.116884E+01  0.319833E-02  0.820180E-03
  0.117152E+01  0.212900E-02  0.821336E-03
  0.117420E+01  0.294700E-02  0.813260E-03
  0.117689E+01  0.335267E-02  0.811079E-03
  0.117957E+01  0.240833E-02  0.817681E-03
  0.118225E+01  0.160767E-02  0.820683E-03
  0.118493E+01  0.529967E-02  0.812226E-03
  0.118762E+01  0.386733E-02  0.813552E-03
  0.119030E+01  0.302167E-02  0.821727E-03
  0.119298E+01  0.342133E-02  0.804642E-03
  0.119566E+01  0.285500E-02  0.817783E-03
  0.119834E+01  0.362533E-02  0.819080E-03
  0.120103E+01  0.332667E-03  0.824666E-03
  0.120371E+01  0.352133E-02  0.816134E-03
  0.120639E+01  0.244900E-02  0.823416E-03
  0.121176E+01  0.245133E-02  0.822739E-03
  0.121712E+01  0.264433E-02  0.647088E-03
  0.122248E+01  0.418733E-02  0.812843E-03
  0.122785E+01  0.218533E-02  0.978804E-03
  0.123321E+01  0.354367E-02  0.123400E-02
  0.123858E+01  0.286567E-02  0.856657E-03
  0.124394E+01  0.234467E-02  0.730874E-03
  0.124931E+01  0.279867E-02  0.668003E-03
  0.125467E+01  0.255967E-02  0.622538E-03
  0.126004E+01  0.160867E-02  0.592104E-03
  0.126540E+01  0.263967E-02  0.576765E-03
  0.127077E+01  0.114233E-02  0.569726E-03
  0.127613E+01  0.234733E-02  0.569560E-03
  0.128149E+01  0.162400E-02  0.564965E-03
  0.128686E+01  0.308100E-02  0.565360E-03
  0.129222E+01  0.307167E-02  0.564069E-03
  0.129759E+01  0.214733E-02  0.558736E-03
  0.130295E+01  0.249200E-02  0.559901E-03
  0.130832E+01  0.142267E-02  0.560734E-03
  0.131368E+01  0.154567E-02  0.561641E-03
  0.131905E+01  0.184600E-02  0.562278E-03
  0.132441E+01  0.214367E-02  0.561364E-03
  0.132977E+01  0.230167E-02  0.558257E-03
  0.133514E+01  0.219800E-02  0.558577E-03
  0.134050E+01  0.212100E-02  0.561158E-03
  0.134587E+01  0.149100E-02  0.563632E-03
  0.135123E+01  0.166233E-02  0.562762E-03
  0.135660E+01  0.249300E-02  0.559621E-03
  0.136196E+01  0.188400E-02  0.556916E-03
  0.136733E+01  0.334233E-02  0.561085E-03
  0.137269E+01  0.169833E-02  0.563868E-03
  0.137806E+01  0.122300E-02  0.562104E-03
  0.138342E+01  0.196233E-02  0.564346E-03
  0.138878E+01  0.264067E-02  0.565675E-03
  0.139415E+01  0.231833E-02  0.565904E-03
  0.139951E+01  0.174267E-02  0.565139E-03
  0.140488E+01  0.191533E-02  0.568427E-03
  0.141024E+01  0.171800E-02  0.565091E-03
  0.141561E+01  0.247700E-02  0.566307E-03
  0.142097E+01  0.270400E-02  0.563885E-03
  0.142634E+01  0.120267E-02  0.562108E-03
  0.143170E+01  0.182167E-02  0.546061E-03
  0.143707E+01  0.272767E-02  0.552592E-03
