 13-Feb-2014       (1.000 *avrg_FW7_0011.d - 1.000 *avrg_FW7_buffer) /  5.0000
avrg_FW7_001  Conc = .50E+01  Mult = .10E+01  N1 =    1  N2 = 1694  SCALE =  1
 _buffer.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 1694  SCALE =  1
  0.124334E+01  0.462398E+03  0.147049E+02
  0.124598E+01  0.472383E+03  0.147025E+02
  0.124861E+01  0.461313E+03  0.147920E+02
  0.125124E+01  0.463398E+03  0.146571E+02
  0.125388E+01  0.451081E+03  0.146487E+02
  0.125651E+01  0.439836E+03  0.145478E+02
  0.125915E+01  0.440745E+03  0.145524E+02
  0.126178E+01  0.474937E+03  0.147085E+02
  0.126441E+01  0.460951E+03  0.146164E+02
  0.126705E+01  0.435960E+03  0.145172E+02
  0.126968E+01  0.449662E+03  0.145688E+02
  0.127232E+01  0.421996E+03  0.144856E+02
  0.127495E+01  0.440712E+03  0.145644E+02
  0.127758E+01  0.434726E+03  0.143713E+02
  0.128022E+01  0.433533E+03  0.144675E+02
  0.128285E+01  0.426521E+03  0.143554E+02
  0.128549E+01  0.450802E+03  0.145392E+02
  0.128812E+01  0.445751E+03  0.144494E+02
  0.129075E+01  0.432667E+03  0.142885E+02
  0.129339E+01  0.438122E+03  0.144111E+02
  0.129602E+01  0.459932E+03  0.143944E+02
  0.129866E+01  0.438481E+03  0.143572E+02
  0.130129E+01  0.433459E+03  0.143062E+02
  0.130392E+01  0.417667E+03  0.142033E+02
  0.130656E+01  0.429396E+03  0.142948E+02
  0.130919E+01  0.426080E+03  0.141905E+02
  0.131183E+01  0.422746E+03  0.141804E+02
  0.131446E+01  0.432182E+03  0.142199E+02
  0.131709E+01  0.427787E+03  0.141520E+02
  0.131973E+01  0.416403E+03  0.142180E+02
  0.132236E+01  0.421475E+03  0.140465E+02
  0.132500E+01  0.412987E+03  0.140770E+02
  0.132763E+01  0.418265E+03  0.141013E+02
  0.133026E+01  0.418398E+03  0.140596E+02
  0.133290E+01  0.406732E+03  0.140801E+02
  0.133553E+01  0.402087E+03  0.139339E+02
  0.133817E+01  0.397920E+03  0.139170E+02
  0.134080E+01  0.394183E+03  0.139623E+02
  0.134343E+01  0.407612E+03  0.138969E+02
  0.134607E+01  0.411405E+03  0.139323E+02
  0.134870E+01  0.409792E+03  0.138914E+02
  0.135134E+01  0.401259E+03  0.138655E+02
  0.135397E+01  0.416304E+03  0.139308E+02
  0.135660E+01  0.398922E+03  0.137491E+02
  0.135924E+01  0.399408E+03  0.138419E+02
  0.136187E+01  0.400163E+03  0.137663E+02
  0.136451E+01  0.406712E+03  0.138383E+02
  0.136714E+01  0.407719E+03  0.137887E+02
  0.136977E+01  0.408777E+03  0.137085E+02
