Sample description: mLANA_B6_DTT
Sample: mLANA_B6_DTT  c= 5.0000 mg/ml  Code: B6_DTT
Parent(s): processed/subtracted/B6_DTT_0049_sub.dat
  1.266540e+00   8.717000e+01   1.040868e+01
  1.269160e+00   9.711340e+01   1.036521e+01
  1.271780e+00   7.168820e+01   1.022782e+01
  1.274400e+00   9.437160e+01   1.046624e+01
  1.277030e+00   8.697580e+01   1.036918e+01
  1.279650e+00   6.228020e+01   1.015368e+01
  1.282280e+00   6.227080e+01   1.037269e+01
  1.284900e+00   8.326700e+01   1.037854e+01
  1.287530e+00   9.851480e+01   1.056262e+01
  1.290150e+00   6.029960e+01   1.008484e+01
  1.292780e+00   9.057740e+01   1.045076e+01
  1.295400e+00   6.870620e+01   1.032654e+01
  1.298020e+00   8.740760e+01   1.044073e+01
  1.300640e+00   9.121460e+01   1.036142e+01
  1.303270e+00   7.460520e+01   1.035462e+01
  1.305890e+00   6.463120e+01   1.028725e+01
  1.308520e+00   7.960140e+01   1.047038e+01
  1.311140e+00   8.881680e+01   1.026586e+01
  1.313770e+00   7.221820e+01   1.025908e+01
  1.316390e+00   7.954660e+01   1.025373e+01
  1.319020e+00   6.108640e+01   1.027543e+01
  1.321630e+00   6.420480e+01   1.027577e+01
  1.324260e+00   6.538320e+01   1.025185e+01
  1.326880e+00   5.467140e+01   1.014336e+01
  1.329500e+00   8.488720e+01   1.039829e+01
  1.332130e+00   7.662060e+01   1.043384e+01
  1.334750e+00   7.557700e+01   1.026347e+01
  1.337380e+00   7.505780e+01   1.022466e+01
  1.340000e+00   7.403720e+01   1.023075e+01
  1.342630e+00   5.743460e+01   1.024257e+01
  1.345250e+00   5.689400e+01   1.011237e+01
  1.347870e+00   5.898920e+01   1.028459e+01
  1.350490e+00   5.661260e+01   1.015208e+01
  1.353120e+00   7.363680e+01   1.024826e+01
  1.355740e+00   4.982300e+01   1.003442e+01
  1.358370e+00   7.584060e+01   1.038136e+01
  1.360990e+00   8.915920e+01   1.032740e+01
  1.363620e+00   5.122920e+01   1.014963e+01
  1.366240e+00   6.217700e+01   1.028158e+01
  1.368870e+00   6.521860e+01   1.011061e+01
  1.371480e+00   5.860200e+01   1.026224e+01
