 19-May-2006       (cal_031.dat - 1.000 *Avrag07.dat) /  3.9050               
cal_031.dat   Conc = .39E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag07.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.798378E+00  0.208843E+02  0.242522E+00
  0.800663E+00  0.200738E+02  0.239428E+00
  0.802948E+00  0.201170E+02  0.240837E+00
  0.805232E+00  0.198277E+02  0.239017E+00
  0.807517E+00  0.199790E+02  0.239594E+00
  0.809801E+00  0.193736E+02  0.238698E+00
  0.812086E+00  0.193990E+02  0.236414E+00
  0.814370E+00  0.193926E+02  0.237510E+00
  0.816655E+00  0.188804E+02  0.236185E+00
  0.818939E+00  0.191411E+02  0.235453E+00
  0.821224E+00  0.190822E+02  0.235114E+00
  0.823509E+00  0.186507E+02  0.234203E+00
  0.825793E+00  0.184346E+02  0.235797E+00
  0.828078E+00  0.182827E+02  0.231915E+00
  0.830362E+00  0.187124E+02  0.233483E+00
  0.832647E+00  0.183849E+02  0.232580E+00
  0.834931E+00  0.188940E+02  0.231811E+00
  0.837216E+00  0.186125E+02  0.232478E+00
  0.839500E+00  0.185770E+02  0.230293E+00
  0.841785E+00  0.182558E+02  0.230651E+00
  0.844070E+00  0.182020E+02  0.228339E+00
  0.846354E+00  0.186177E+02  0.230088E+00
  0.848639E+00  0.185775E+02  0.229095E+00
  0.850923E+00  0.178261E+02  0.227803E+00
  0.853208E+00  0.178758E+02  0.228368E+00
  0.855492E+00  0.175775E+02  0.226673E+00
  0.857777E+00  0.175337E+02  0.226456E+00
  0.860061E+00  0.171703E+02  0.224856E+00
  0.862346E+00  0.172602E+02  0.225221E+00
  0.864631E+00  0.175739E+02  0.226247E+00
  0.866915E+00  0.176740E+02  0.223571E+00
  0.869200E+00  0.176092E+02  0.225278E+00
  0.871484E+00  0.174845E+02  0.222920E+00
  0.873769E+00  0.173944E+02  0.223530E+00
  0.876053E+00  0.173222E+02  0.223868E+00
  0.878338E+00  0.172899E+02  0.220723E+00
  0.880623E+00  0.165624E+02  0.222758E+00
  0.882907E+00  0.169352E+02  0.219912E+00
  0.885192E+00  0.162461E+02  0.220952E+00
  0.887476E+00  0.162218E+02  0.219432E+00
  0.889761E+00  0.161749E+02  0.218612E+00
  0.892045E+00  0.163306E+02  0.220118E+00
  0.894330E+00  0.166233E+02  0.218090E+00
  0.896614E+00  0.160609E+02  0.217752E+00
  0.898899E+00  0.162686E+02  0.216660E+00
  0.901184E+00  0.162510E+02  0.217071E+00
  0.903468E+00  0.157941E+02  0.218144E+00
  0.905753E+00  0.164010E+02  0.215673E+00
  0.908037E+00  0.152095E+02  0.216268E+00
  0.910322E+00  0.150602E+02  0.215018E+00
  0.912606E+00  0.151196E+02  0.214725E+00
  0.914891E+00  0.153142E+02  0.214931E+00
  0.917175E+00  0.157908E+02  0.213862E+00
