Sample description: Sub_Ave_zarp_0079_1608-Ave_Tp_0078_855
Sample: Sub_Ave_zarp_00  c= 0 mg/ml  Code: 
 2.477014e+000  1.875982e-004  2.310027e-005
 2.482637e+000  1.641345e-004  2.307939e-005
 2.488259e+000  2.060331e-004  2.307905e-005
 2.493882e+000  2.553425e-004  2.305908e-005
 2.499504e+000  2.607894e-004  2.306672e-005
 2.505127e+000  2.198544e-004  2.303072e-005
 2.510749e+000  1.680365e-004  2.302502e-005
 2.516371e+000  1.632658e-004  2.298188e-005
 2.521993e+000  2.042816e-004  2.297517e-005
 2.527616e+000  1.776169e-004  2.296718e-005
 2.533238e+000  1.633067e-004  2.293533e-005
 2.538860e+000  1.904838e-004  2.292596e-005
 2.544482e+000  1.836247e-004  2.289390e-005
 2.550104e+000  1.662096e-004  2.289538e-005
 2.555726e+000  2.415404e-004  2.290321e-005
 2.561347e+000  3.166393e-004  2.287802e-005
 2.566969e+000  2.701819e-004  2.288387e-005
 2.572591e+000  2.195721e-004  2.283894e-005
 2.578213e+000  2.132299e-004  2.284336e-005
 2.583834e+000  1.781606e-004  2.278348e-005
 2.589456e+000  2.189924e-004  2.277819e-005
 2.595078e+000  1.948011e-004  2.276938e-005
 2.600699e+000  1.887525e-004  2.271203e-005
 2.606321e+000  2.147299e-004  2.273146e-005
 2.611942e+000  1.997921e-004  2.270415e-005
 2.617563e+000  2.107903e-004  2.269730e-005
 2.623185e+000  2.305001e-004  2.266991e-005
 2.628806e+000  2.020613e-004  2.262769e-005
 2.634427e+000  2.159802e-004  2.264487e-005
 2.640048e+000  2.707708e-004  2.261722e-005
 2.645670e+000  2.259495e-004  2.261771e-005
 2.651291e+000  2.326126e-004  2.258568e-005
 2.656912e+000  2.240376e-004  2.257413e-005
 2.662533e+000  1.677777e-004  2.256630e-005
 2.668154e+000  1.639331e-004  2.250764e-005
 2.673774e+000  1.883882e-004  2.253158e-005
 2.679395e+000  1.932270e-004  2.250309e-005
 2.685016e+000  1.847774e-004  2.249670e-005
 2.690637e+000  1.902255e-004  2.249392e-005
 2.696257e+000  1.602405e-004  2.244241e-005
 2.701878e+000  1.123825e-004  2.245606e-005
