Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: DCC56_hi
Parent(s): DCC56_hi_0058.dat DCC56_0006.dat DCC56_0004.dat DCC56_hi_0056.dat
  1.181680e+00   1.594321e+02   6.264742e+00
  1.184310e+00   1.571912e+02   6.306912e+00
  1.186940e+00   1.610024e+02   6.305094e+00
  1.189570e+00   1.623518e+02   6.219376e+00
  1.192200e+00   1.635567e+02   6.273412e+00
  1.194830e+00   1.605242e+02   6.259985e+00
  1.197460e+00   1.531524e+02   6.232209e+00
  1.200090e+00   1.642027e+02   6.276876e+00
  1.202720e+00   1.557106e+02   6.231542e+00
  1.205350e+00   1.651985e+02   6.238039e+00
  1.207980e+00   1.592461e+02   6.214703e+00
  1.210610e+00   1.566148e+02   6.211961e+00
  1.213250e+00   1.551188e+02   6.181945e+00
  1.215880e+00   1.496115e+02   6.156548e+00
  1.218510e+00   1.629912e+02   6.194570e+00
  1.221140e+00   1.497706e+02   6.160918e+00
  1.223770e+00   1.505942e+02   6.127285e+00
  1.226400e+00   1.456800e+02   6.097018e+00
  1.229030e+00   1.514512e+02   6.114552e+00
  1.231660e+00   1.552842e+02   6.132773e+00
  1.234290e+00   1.428024e+02   6.062336e+00
  1.236920e+00   1.507936e+02   6.126939e+00
  1.239550e+00   1.538836e+02   6.110503e+00
  1.242180e+00   1.505606e+02   6.098521e+00
  1.244810e+00   1.435776e+02   6.082212e+00
  1.247450e+00   1.565327e+02   6.043712e+00
  1.250080e+00   1.449952e+02   6.090724e+00
  1.252710e+00   1.468185e+02   6.037397e+00
  1.255340e+00   1.416688e+02   6.007467e+00
  1.257970e+00   1.418552e+02   6.035376e+00
  1.260600e+00   1.303961e+02   5.971527e+00
  1.263230e+00   1.358406e+02   6.048964e+00
  1.265860e+00   1.361897e+02   5.995127e+00
  1.268490e+00   1.392336e+02   5.974430e+00
  1.271120e+00   1.476655e+02   5.997194e+00
  1.273750e+00   1.420988e+02   5.992152e+00
  1.276380e+00   1.422233e+02   5.966633e+00
  1.279010e+00   1.416109e+02   5.991615e+00
  1.281650e+00   1.461097e+02   5.970997e+00
  1.284280e+00   1.417003e+02   5.939015e+00
  1.286910e+00   1.398373e+02   5.991348e+00
  1.289540e+00   1.345455e+02   5.915348e+00
  1.292170e+00   1.403470e+02   5.949630e+00
  1.294800e+00   1.364130e+02   5.918018e+00
  1.297430e+00   1.343539e+02   5.926745e+00
  1.300060e+00   1.298188e+02   5.892500e+00
  1.302690e+00   1.398209e+02   5.911561e+00
  1.305320e+00   1.468439e+02   5.935224e+00
  1.307950e+00   1.393809e+02   5.864336e+00
  1.310580e+00   1.291918e+02   5.910609e+00
