Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: LytAPhA
Parent(s): phage_zc.dat
 1.152930e+000  4.163860e+000  6.989950e-002
 1.155670e+000  4.207050e+000  7.303350e-002
 1.158400e+000  4.054630e+000  7.210560e-002
 1.161140e+000  4.104000e+000  7.297180e-002
 1.163870e+000  4.017530e+000  7.188230e-002
 1.166610e+000  3.940790e+000  7.065310e-002
 1.169340e+000  3.905560e+000  7.264030e-002
 1.172080e+000  3.844080e+000  7.034250e-002
 1.174810e+000  3.827240e+000  7.114820e-002
 1.177550e+000  3.845560e+000  7.088180e-002
 1.180280e+000  3.842620e+000  7.051980e-002
 1.183020e+000  4.006080e+000  7.296350e-002
 1.185750e+000  3.731360e+000  7.001920e-002
 1.188490e+000  3.749930e+000  7.100490e-002
 1.191220e+000  3.705080e+000  7.166570e-002
 1.193960e+000  3.674260e+000  7.001270e-002
 1.196690e+000  3.789580e+000  7.076940e-002
 1.199430e+000  3.536850e+000  6.867290e-002
 1.202160e+000  3.678860e+000  7.111070e-002
 1.204900e+000  3.690790e+000  7.051210e-002
 1.207630e+000  3.634700e+000  7.103140e-002
 1.210370e+000  3.431320e+000  6.964440e-002
 1.213100e+000  3.548390e+000  7.028580e-002
 1.215840e+000  3.580650e+000  7.138740e-002
 1.221310e+000  3.404040e+000  6.978800e-002
 1.224040e+000  3.469230e+000  7.037210e-002
 1.226780e+000  3.476450e+000  7.160670e-002
 1.229510e+000  3.297030e+000  6.867930e-002
 1.232250e+000  3.307730e+000  7.384860e-002
 1.234980e+000  3.428170e+000  7.585660e-002
 1.237720e+000  3.415860e+000  7.848200e-002
 1.240450e+000  3.255120e+000  7.822760e-002
 1.243190e+000  3.225680e+000  8.002430e-002
 1.245920e+000  3.337350e+000  8.361000e-002
 1.248660e+000  3.028590e+000  8.140880e-002
 1.251390e+000  3.068090e+000  8.376320e-002
 1.254130e+000  3.095340e+000  8.577090e-002
 1.256860e+000  3.267470e+000  8.354090e-002
 1.259600e+000  3.133290e+000  8.485990e-002
 1.262330e+000  3.191690e+000  8.916560e-002
 1.265070e+000  3.103500e+000  8.239000e-002
 1.267800e+000  3.127690e+000  8.085280e-002
 1.270540e+000  3.065210e+000  7.531790e-002
 1.273270e+000  3.153090e+000  7.550160e-002
 1.276010e+000  3.019990e+000  7.347450e-002
 1.278740e+000  2.958230e+000  7.404920e-002
 1.281480e+000  3.151820e+000  7.255270e-002
 1.284210e+000  2.990570e+000  7.130870e-002
 1.286950e+000  2.982290e+000  7.035110e-002
 1.289680e+000  2.988240e+000  7.089240e-002
 1.292420e+000  2.969290e+000  7.078510e-002
 1.295150e+000  2.850870e+000  7.214250e-002
 1.297890e+000  2.854340e+000  6.812090e-002
 1.300620e+000  2.932440e+000  7.047380e-002
 1.303360e+000  2.978720e+000  6.981840e-002
 1.306090e+000  2.868910e+000  6.854250e-002
 1.308830e+000  2.866630e+000  6.923030e-002
 1.311570e+000  2.928630e+000  7.100520e-002
 1.314300e+000  2.864350e+000  7.020350e-002
 1.317040e+000  2.815200e+000  6.768110e-002
 1.319770e+000  2.632300e+000  6.863990e-002
 1.322510e+000  2.862770e+000  6.983870e-002
 1.325240e+000  2.865150e+000  7.025300e-002
 1.327980e+000  2.779740e+000  6.855490e-002
 1.330710e+000  2.865030e+000  7.040240e-002
 1.333450e+000  2.754640e+000  6.741730e-002
 1.336180e+000  2.752210e+000  6.897630e-002
 1.338920e+000  2.770330e+000  7.001530e-002
 1.341650e+000  2.706270e+000  6.721000e-002
 1.344390e+000  2.600850e+000  6.740600e-002
 1.347120e+000  2.814520e+000  6.915150e-002
 1.349860e+000  2.583590e+000  6.823410e-002
 1.352590e+000  2.600040e+000  6.813300e-002
 1.355330e+000  2.664700e+000  6.761310e-002
 1.358060e+000  2.495950e+000  6.699820e-002
 1.360800e+000  2.582510e+000  6.606870e-002
 1.363530e+000  2.504720e+000  6.750290e-002
 1.366270e+000  2.469050e+000  6.600860e-002
 1.369000e+000  2.763690e+000  6.825290e-002
 1.371740e+000  2.667350e+000  6.940410e-002
 1.374470e+000  2.625490e+000  6.780270e-002
 1.377210e+000  2.538700e+000  6.730850e-002
 1.379940e+000  2.502150e+000  6.582090e-002
 1.382680e+000  2.456560e+000  6.785220e-002
 1.385410e+000  2.595640e+000  6.693390e-002
 1.388150e+000  2.594110e+000  6.672540e-002
 1.390880e+000  2.450960e+000  6.724340e-002
 1.393620e+000  2.581890e+000  6.944990e-002
 1.396350e+000  2.319770e+000  6.725790e-002
 1.399090e+000  2.489050e+000  6.622340e-002
 1.401820e+000  2.500190e+000  6.803130e-002
 1.404560e+000  2.446610e+000  6.680690e-002
 1.407290e+000  2.441830e+000  6.650090e-002
 1.410030e+000  2.431330e+000  6.664910e-002
 1.412760e+000  2.411960e+000  6.642990e-002
 1.415500e+000  2.434970e+000  6.698270e-002
 1.418230e+000  2.332050e+000  6.689240e-002
 1.420970e+000  2.356920e+000  6.559500e-002
 1.423700e+000  2.417800e+000  6.729110e-002
 1.426440e+000  2.421610e+000  6.887360e-002
 1.429170e+000  2.209360e+000  6.544190e-002
 1.431910e+000  2.271260e+000  6.441640e-002
 1.434640e+000  2.354360e+000  6.715530e-002
 1.437380e+000  2.249600e+000  6.519800e-002
 1.440110e+000  2.302900e+000  6.571360e-002
 1.442850e+000  2.385550e+000  6.499040e-002
 1.445580e+000  2.405170e+000  6.771040e-002
 1.448320e+000  2.350200e+000  6.779470e-002
 1.451050e+000  2.259190e+000  6.625160e-002
 1.453790e+000  2.242140e+000  6.586220e-002
 1.456520e+000  2.188670e+000  6.432060e-002
 1.459260e+000  2.127060e+000  6.569640e-002
 1.461990e+000  2.068240e+000  6.504540e-002
 1.464730e+000  2.210080e+000  6.688690e-002
 1.467470e+000  2.287900e+000  6.531830e-002
 1.470200e+000  2.114440e+000  6.548790e-002
 1.472940e+000  2.252050e+000  6.606840e-002
 1.475670e+000  2.198010e+000  6.797150e-002
 1.478410e+000  2.198330e+000  6.504170e-002
 1.481140e+000  2.088780e+000  6.493870e-002
 1.483880e+000  2.054620e+000  6.309000e-002
 1.486610e+000  2.057410e+000  6.484380e-002
 1.489350e+000  2.218420e+000  6.399680e-002
 1.492080e+000  2.165600e+000  6.423220e-002
 1.494820e+000  2.042900e+000  6.407600e-002
 1.497550e+000  2.107580e+000  6.318570e-002
 1.500290e+000  2.093800e+000  6.226630e-002
 1.503020e+000  2.052130e+000  6.314240e-002
 1.505760e+000  2.154120e+000  6.457190e-002
 1.508490e+000  2.037110e+000  6.376580e-002
 1.511230e+000  2.066520e+000  6.336770e-002
 1.513960e+000  2.093840e+000  6.410360e-002
 1.516700e+000  2.099480e+000  6.490380e-002
 1.519430e+000  2.069270e+000  6.567680e-002
 1.522170e+000  2.115690e+000  6.541170e-002
 1.524900e+000  1.999540e+000  6.374500e-002
 1.527640e+000  2.083290e+000  6.479060e-002
 1.530370e+000  1.972080e+000  6.330180e-002
 1.533110e+000  1.902740e+000  6.413990e-002
 1.535840e+000  2.064690e+000  6.349180e-002
 1.538580e+000  2.036030e+000  6.282680e-002
 1.541310e+000  1.987200e+000  6.274720e-002
 1.544050e+000  2.138320e+000  6.500740e-002
 1.546780e+000  1.909870e+000  6.309420e-002
 1.549520e+000  1.953140e+000  6.261290e-002
 1.552250e+000  1.944180e+000  6.427200e-002
 1.554990e+000  1.839950e+000  6.343360e-002
 1.557720e+000  1.981820e+000  6.342800e-002
 1.560460e+000  1.868860e+000  6.295470e-002
 1.563190e+000  1.882390e+000  6.359540e-002
 1.565930e+000  1.893570e+000  6.213290e-002
 1.568660e+000  1.838460e+000  6.344360e-002
 1.571400e+000  1.839870e+000  6.309080e-002
 1.574130e+000  1.800140e+000  6.228770e-002
 1.576870e+000  1.938300e+000  6.423290e-002
 1.579600e+000  1.860320e+000  6.244570e-002
 1.582340e+000  1.856250e+000  6.399490e-002
 1.585070e+000  1.787990e+000  6.427720e-002
 1.587810e+000  1.731160e+000  6.156770e-002
 1.590540e+000  1.855620e+000  6.423840e-002
 1.593280e+000  1.728700e+000  6.190550e-002
 1.596010e+000  1.763300e+000  6.075680e-002
