 24-Sep-2012       (cyn_056.dat - 1.0*Aver(cyn_055.dat,cyn_057.dat) /  5.0230 
 cyn_056.dat  Conc = .50E+01  N1 =    1  N2 = 2168
 cyn_055.dat  Conc = 0.0d+0   N1 =    1  N2 = 2168
 cyn_057.dat  Conc = 0.0d+0   N1 =    1  N2 = 2168
  0.808913E+00  0.669743E+01  0.100488E+00
  0.811647E+00  0.677315E+01  0.101716E+00
  0.814381E+00  0.648745E+01  0.994626E-01
  0.817115E+00  0.649569E+01  0.995837E-01
  0.819849E+00  0.662378E+01  0.101564E+00
  0.822583E+00  0.638706E+01  0.100562E+00
  0.825317E+00  0.647632E+01  0.100820E+00
  0.828051E+00  0.641939E+01  0.100158E+00
  0.830785E+00  0.642838E+01  0.989019E-01
  0.833519E+00  0.638428E+01  0.101495E+00
  0.836253E+00  0.642838E+01  0.997756E-01
  0.838987E+00  0.628567E+01  0.995980E-01
  0.841721E+00  0.633910E+01  0.101147E+00
  0.844455E+00  0.615648E+01  0.991613E-01
  0.847189E+00  0.612032E+01  0.100150E+00
  0.849923E+00  0.608354E+01  0.978901E-01
  0.852657E+00  0.613765E+01  0.999790E-01
  0.855391E+00  0.616257E+01  0.996615E-01
  0.858125E+00  0.613919E+01  0.100855E+00
  0.860860E+00  0.619050E+01  0.100220E+00
  0.863594E+00  0.588580E+01  0.981489E-01
  0.866328E+00  0.591271E+01  0.992488E-01
  0.869062E+00  0.582024E+01  0.990543E-01
  0.871796E+00  0.587400E+01  0.992278E-01
  0.874530E+00  0.595538E+01  0.994215E-01
  0.877264E+00  0.600120E+01  0.994195E-01
  0.879998E+00  0.589887E+01  0.996273E-01
  0.882732E+00  0.574068E+01  0.989641E-01
  0.885466E+00  0.579177E+01  0.982231E-01
  0.888200E+00  0.583374E+01  0.986484E-01
  0.890934E+00  0.568741E+01  0.982566E-01
  0.893668E+00  0.578209E+01  0.993789E-01
  0.896402E+00  0.557840E+01  0.985116E-01
  0.899136E+00  0.567393E+01  0.979394E-01
  0.901870E+00  0.556047E+01  0.979435E-01
  0.904604E+00  0.538877E+01  0.981846E-01
  0.907338E+00  0.542705E+01  0.974934E-01
  0.910072E+00  0.555303E+01  0.987327E-01
  0.912806E+00  0.545728E+01  0.982167E-01
  0.915540E+00  0.536398E+01  0.970816E-01
  0.918274E+00  0.529547E+01  0.978411E-01
  0.921009E+00  0.536422E+01  0.979027E-01
  0.923743E+00  0.529443E+01  0.975378E-01
  0.926477E+00  0.524552E+01  0.982535E-01
  0.929211E+00  0.518782E+01  0.956160E-01
  0.931945E+00  0.520167E+01  0.974078E-01
  0.934679E+00  0.524958E+01  0.973288E-01
  0.937413E+00  0.533451E+01  0.978224E-01
  0.940147E+00  0.529360E+01  0.982056E-01
  0.942881E+00  0.522244E+01  0.968180E-01
  0.945615E+00  0.501353E+01  0.976379E-01
  0.948349E+00  0.501377E+01  0.958141E-01
  0.951083E+00  0.490795E+01  0.967088E-01
  0.953817E+00  0.490811E+01  0.964734E-01
  0.956551E+00  0.492906E+01  0.968436E-01
  0.959285E+00  0.500865E+01  0.974846E-01
  0.962019E+00  0.476195E+01  0.955417E-01
  0.964753E+00  0.507523E+01  0.970611E-01
  0.967487E+00  0.489653E+01  0.956209E-01
  0.970221E+00  0.491062E+01  0.963480E-01
  0.972955E+00  0.483777E+01  0.964334E-01
  0.975689E+00  0.480911E+01  0.953913E-01
  0.978423E+00  0.486862E+01  0.975300E-01
  0.981157E+00  0.473912E+01  0.952352E-01
  0.983892E+00  0.465893E+01  0.968157E-01
  0.986626E+00  0.475396E+01  0.962671E-01
  0.989360E+00  0.467189E+01  0.960918E-01
  0.992094E+00  0.469761E+01  0.967902E-01
  0.994828E+00  0.466865E+01  0.950627E-01
  0.997562E+00  0.439919E+01  0.953658E-01
  0.100030E+01  0.444693E+01  0.934523E-01
  0.100303E+01  0.456142E+01  0.953980E-01
  0.100576E+01  0.450883E+01  0.952104E-01
  0.100850E+01  0.459802E+01  0.959151E-01
  0.101123E+01  0.469571E+01  0.959628E-01
  0.101397E+01  0.446424E+01  0.940964E-01
  0.101670E+01  0.436743E+01  0.955072E-01
  0.101943E+01  0.448464E+01  0.959029E-01
  0.102217E+01  0.445147E+01  0.946437E-01
  0.102490E+01  0.438882E+01  0.955764E-01
  0.102764E+01  0.439282E+01  0.933574E-01
  0.103037E+01  0.435969E+01  0.955698E-01
  0.103310E+01  0.437950E+01  0.940623E-01
  0.103584E+01  0.423804E+01  0.949918E-01
  0.103857E+01  0.417645E+01  0.952493E-01
  0.104131E+01  0.440008E+01  0.945214E-01
  0.104404E+01  0.409981E+01  0.953007E-01
  0.104677E+01  0.420071E+01  0.929763E-01
  0.104951E+01  0.418215E+01  0.938417E-01
  0.105224E+01  0.415104E+01  0.944142E-01
  0.105498E+01  0.411707E+01  0.939566E-01
  0.105771E+01  0.421156E+01  0.946998E-01
  0.106044E+01  0.410129E+01  0.931478E-01
  0.106318E+01  0.402904E+01  0.940524E-01
  0.106591E+01  0.397219E+01  0.924148E-01
  0.106865E+01  0.398062E+01  0.928213E-01
  0.107138E+01  0.401577E+01  0.936983E-01
  0.107411E+01  0.398680E+01  0.926776E-01
  0.107685E+01  0.402151E+01  0.939578E-01
  0.107958E+01  0.391921E+01  0.925535E-01
  0.108232E+01  0.397530E+01  0.926194E-01
  0.108505E+01  0.406226E+01  0.945504E-01
  0.108779E+01  0.375861E+01  0.922823E-01
  0.109052E+01  0.374680E+01  0.939514E-01
  0.109325E+01  0.393901E+01  0.926325E-01
  0.109599E+01  0.388765E+01  0.930519E-01
  0.109872E+01  0.385899E+01  0.935825E-01
  0.110146E+01  0.381316E+01  0.924973E-01
  0.110419E+01  0.382332E+01  0.927169E-01
  0.110692E+01  0.382642E+01  0.932759E-01
  0.110966E+01  0.363806E+01  0.920142E-01
  0.111239E+01  0.382090E+01  0.932037E-01
  0.111513E+01  0.374978E+01  0.914326E-01
  0.111786E+01  0.388032E+01  0.925525E-01
  0.112059E+01  0.366947E+01  0.917857E-01
  0.112333E+01  0.363620E+01  0.917048E-01
  0.112606E+01  0.367591E+01  0.929388E-01
  0.112880E+01  0.366453E+01  0.913660E-01
  0.113153E+01  0.368410E+01  0.921747E-01
  0.113426E+01  0.363766E+01  0.921659E-01
  0.113700E+01  0.359016E+01  0.912196E-01
  0.113973E+01  0.362691E+01  0.915197E-01
  0.114247E+01  0.352205E+01  0.921655E-01
  0.114520E+01  0.347698E+01  0.918274E-01
  0.114793E+01  0.345679E+01  0.922667E-01
  0.115067E+01  0.360200E+01  0.916472E-01
  0.115340E+01  0.352741E+01  0.915533E-01
  0.115614E+01  0.335484E+01  0.911291E-01
  0.115887E+01  0.328517E+01  0.906306E-01
  0.116160E+01  0.338476E+01  0.909472E-01
  0.116434E+01  0.349411E+01  0.908123E-01
  0.116707E+01  0.331730E+01  0.912621E-01
  0.116981E+01  0.333558E+01  0.906137E-01
  0.117254E+01  0.338356E+01  0.910080E-01
  0.117527E+01  0.346106E+01  0.910580E-01
  0.117801E+01  0.325147E+01  0.908244E-01
  0.118074E+01  0.340039E+01  0.916655E-01
  0.118348E+01  0.326797E+01  0.904294E-01
  0.118621E+01  0.336150E+01  0.904059E-01
  0.118894E+01  0.314339E+01  0.902375E-01
  0.119168E+01  0.315055E+01  0.898329E-01
  0.119441E+01  0.334854E+01  0.911286E-01
  0.119715E+01  0.312557E+01  0.899164E-01
  0.119988E+01  0.323122E+01  0.906180E-01
  0.120262E+01  0.308273E+01  0.898366E-01
  0.120535E+01  0.316908E+01  0.893520E-01
  0.120808E+01  0.314626E+01  0.898220E-01
  0.121082E+01  0.319099E+01  0.901897E-01
  0.121355E+01  0.313138E+01  0.904936E-01
  0.121629E+01  0.307007E+01  0.901009E-01
  0.121902E+01  0.301246E+01  0.890062E-01
  0.122175E+01  0.312425E+01  0.899082E-01
  0.122449E+01  0.304926E+01  0.897218E-01
  0.122722E+01  0.300980E+01  0.899408E-01
  0.122996E+01  0.297717E+01  0.955783E-01
  0.123269E+01  0.289460E+01  0.983068E-01
  0.123816E+01  0.306900E+01  0.100935E+00
  0.124089E+01  0.286281E+01  0.103527E+00
  0.124363E+01  0.297066E+01  0.106075E+00
  0.124636E+01  0.302091E+01  0.106826E+00
  0.124909E+01  0.302195E+01  0.106798E+00
  0.125183E+01  0.292137E+01  0.110115E+00
  0.125456E+01  0.269401E+01  0.109556E+00
  0.125730E+01  0.291963E+01  0.112324E+00
  0.126003E+01  0.277359E+01  0.115050E+00
  0.126276E+01  0.283426E+01  0.117395E+00
  0.126550E+01  0.281465E+01  0.105502E+00
  0.126823E+01  0.292578E+01  0.102974E+00
  0.127097E+01  0.295168E+01  0.100716E+00
  0.127370E+01  0.281625E+01  0.992900E-01
  0.127643E+01  0.291499E+01  0.982282E-01
  0.127917E+01  0.290566E+01  0.988324E-01
  0.128190E+01  0.288751E+01  0.971457E-01
  0.128464E+01  0.289519E+01  0.967152E-01
  0.128737E+01  0.270048E+01  0.954392E-01
  0.129010E+01  0.279062E+01  0.946625E-01
  0.129284E+01  0.275933E+01  0.931018E-01
  0.129557E+01  0.278152E+01  0.937006E-01
  0.129831E+01  0.289768E+01  0.921503E-01
  0.130104E+01  0.270093E+01  0.923083E-01
  0.130377E+01  0.256095E+01  0.901561E-01
  0.130651E+01  0.268049E+01  0.901539E-01
  0.130924E+01  0.265091E+01  0.912437E-01
  0.131198E+01  0.273309E+01  0.900489E-01
  0.131471E+01  0.276042E+01  0.905859E-01
  0.131744E+01  0.249991E+01  0.891671E-01
  0.132018E+01  0.256198E+01  0.889556E-01
  0.132291E+01  0.260433E+01  0.905242E-01
  0.132565E+01  0.250409E+01  0.884139E-01
  0.132838E+01  0.262836E+01  0.889952E-01
  0.133112E+01  0.249754E+01  0.888558E-01
  0.133385E+01  0.268292E+01  0.898462E-01
  0.133658E+01  0.256991E+01  0.901712E-01
  0.133932E+01  0.252822E+01  0.873787E-01
  0.134205E+01  0.258507E+01  0.895487E-01
  0.134479E+01  0.261867E+01  0.898356E-01
  0.134752E+01  0.260818E+01  0.898785E-01
  0.135025E+01  0.255680E+01  0.892056E-01
  0.135299E+01  0.248237E+01  0.888936E-01
  0.135572E+01  0.247826E+01  0.886179E-01
  0.135846E+01  0.246895E+01  0.891122E-01
  0.136119E+01  0.237008E+01  0.870794E-01
  0.136392E+01  0.232889E+01  0.880291E-01
  0.136666E+01  0.236944E+01  0.880115E-01
  0.136939E+01  0.237186E+01  0.882841E-01
  0.137213E+01  0.230379E+01  0.874290E-01
  0.137486E+01  0.245608E+01  0.882898E-01
  0.137759E+01  0.247807E+01  0.878134E-01
  0.138033E+01  0.228099E+01  0.876799E-01
  0.138306E+01  0.240471E+01  0.883119E-01
  0.138580E+01  0.224721E+01  0.866794E-01
  0.138853E+01  0.233052E+01  0.873818E-01
  0.139126E+01  0.230078E+01  0.873643E-01
  0.139400E+01  0.237379E+01  0.866576E-01
  0.139673E+01  0.231459E+01  0.885721E-01
  0.139947E+01  0.235495E+01  0.875654E-01
  0.140220E+01  0.220935E+01  0.872382E-01
  0.140493E+01  0.214603E+01  0.867977E-01
  0.140767E+01  0.225420E+01  0.870619E-01
  0.141040E+01  0.227821E+01  0.874746E-01
  0.141314E+01  0.197684E+01  0.870839E-01
  0.141587E+01  0.221717E+01  0.870615E-01
  0.141860E+01  0.218894E+01  0.869800E-01
  0.142134E+01  0.214877E+01  0.865532E-01
  0.142407E+01  0.217982E+01  0.867734E-01
  0.142681E+01  0.213758E+01  0.863854E-01
  0.142954E+01  0.219333E+01  0.866409E-01
  0.143227E+01  0.208381E+01  0.856260E-01
  0.143501E+01  0.221896E+01  0.873030E-01
  0.143774E+01  0.222010E+01  0.865373E-01
  0.144048E+01  0.221118E+01  0.865073E-01
  0.144321E+01  0.204390E+01  0.854102E-01
  0.144594E+01  0.223851E+01  0.868514E-01
  0.144868E+01  0.206373E+01  0.862776E-01
  0.145141E+01  0.220983E+01  0.867041E-01
  0.145415E+01  0.217207E+01  0.852434E-01
  0.145688E+01  0.210160E+01  0.857141E-01
  0.145962E+01  0.202964E+01  0.851419E-01
  0.146235E+01  0.208507E+01  0.846568E-01
  0.146508E+01  0.195201E+01  0.848347E-01
