Sample description: m7_hsa
Sample: m7_hsa  c= .0000 mg/ml  Code: m7_hsa
Parent(s): C:/Users/jeffries/AppData/Local/Temp/qt_temp.Yd7788 C:/Users/jeffries/AppData/Local/Temp/qt_temp.cd7788
 1.324090e+000  1.041480e+001  2.312172e+000
 1.326720e+000  1.489880e+001  2.321189e+000
 1.329360e+000  1.403270e+001  2.312248e+000
 1.331990e+000  7.412800e+000  2.310349e+000
 1.334630e+000  6.249600e+000  2.311088e+000
 1.337260e+000  8.950500e+000  2.315661e+000
 1.339900e+000  1.173890e+001  2.301970e+000
 1.342530e+000  1.229360e+001  2.293999e+000
 1.345170e+000  1.254200e+001  2.287294e+000
 1.347800e+000  1.244170e+001  2.293193e+000
 1.350440e+000  1.363790e+001  2.298465e+000
 1.353070e+000  1.048630e+001  2.282466e+000
 1.355710e+000  8.169400e+000  2.281319e+000
 1.358340e+000  9.589000e+000  2.292181e+000
 1.360970e+000  1.107890e+001  2.286669e+000
 1.363610e+000  1.135270e+001  2.264454e+000
 1.366240e+000  7.482700e+000  2.276521e+000
 1.368880e+000  9.918500e+000  2.281523e+000
 1.371510e+000  7.677000e+000  2.273014e+000
 1.374150e+000  1.212550e+001  2.277414e+000
 1.376780e+000  1.182910e+001  2.263173e+000
 1.379420e+000  1.354350e+001  2.273104e+000
 1.382050e+000  5.774900e+000  2.260443e+000
 1.384690e+000  9.915100e+000  2.267354e+000
 1.387320e+000  1.265770e+001  2.256849e+000
 1.389960e+000  8.248900e+000  2.254850e+000
 1.392590e+000  1.207950e+001  2.276077e+000
 1.395230e+000  7.179400e+000  2.236327e+000
 1.397860e+000  1.108970e+001  2.251306e+000
 1.400490e+000  8.231700e+000  2.258134e+000
 1.403130e+000  1.186180e+001  2.244633e+000
 1.405760e+000  9.255000e+000  2.264216e+000
 1.408400e+000  1.027840e+001  2.224206e+000
 1.411030e+000  7.253000e+000  2.249185e+000
 1.413670e+000  1.120820e+001  2.248107e+000
 1.416300e+000  8.443600e+000  2.243111e+000
 1.418940e+000  8.443500e+000  2.248893e+000
 1.421570e+000  8.786300e+000  2.221127e+000
 1.424210e+000  5.522300e+000  2.244649e+000
 1.426840e+000  8.649500e+000  2.225526e+000
 1.429480e+000  1.024900e+001  2.222180e+000
 1.432110e+000  1.275550e+001  2.239558e+000
 1.434750e+000  1.166760e+001  2.228144e+000
 1.437380e+000  1.049230e+001  2.238585e+000
 1.440010e+000  1.031890e+001  2.217912e+000
 1.442650e+000  9.640600e+000  2.213625e+000
 1.445280e+000  5.938800e+000  2.220664e+000
 1.447920e+000  1.480680e+001  2.227603e+000
 1.450550e+000  7.060600e+000  2.218150e+000
 1.453190e+000  7.875200e+000  2.202382e+000
 1.455820e+000  1.071360e+001  2.214668e+000
 1.458460e+000  8.197100e+000  2.213539e+000
 1.461090e+000  7.380900e+000  2.206845e+000
 1.463730e+000  1.045400e+001  2.215221e+000
 1.466360e+000  6.909900e+000  2.187301e+000
 1.469000e+000  9.272800e+000  2.220284e+000
 1.471630e+000  1.293940e+001  2.205571e+000
 1.474270e+000  9.885000e+000  2.212894e+000
 1.476900e+000  7.222700e+000  2.241611e+000
 1.479530e+000  7.088700e+000  2.252250e+000
 1.482170e+000  1.089810e+001  2.301960e+000
 1.484800e+000  9.646700e+000  2.273607e+000
 1.487440e+000  1.200710e+001  2.309417e+000
 1.490070e+000  8.767400e+000  2.304013e+000
 1.492710e+000  7.805300e+000  2.321821e+000
 1.495340e+000  4.391600e+000  2.329054e+000
 1.497980e+000  1.047610e+001  2.320807e+000
 1.500610e+000  1.144020e+001  2.357981e+000
 1.503250e+000  6.320600e+000  2.343668e+000
 1.505880e+000  8.975900e+000  2.346717e+000
 1.508520e+000  1.182500e+001  2.366265e+000
 1.511150e+000  1.139700e+001  2.360612e+000
 1.513780e+000  9.137900e+000  2.378181e+000
 1.516420e+000  1.114030e+001  2.369140e+000
 1.519050e+000  9.646300e+000  2.381963e+000
 1.521690e+000  5.972500e+000  2.388551e+000
 1.524320e+000  1.054650e+001  2.380519e+000
 1.526960e+000  8.670800e+000  2.410710e+000
 1.529590e+000  9.059700e+000  2.363423e+000
 1.532230e+000  7.018900e+000  2.341201e+000
 1.534860e+000  4.458100e+000  2.325393e+000
 1.537500e+000  9.020800e+000  2.310033e+000
 1.540130e+000  6.194500e+000  2.304242e+000
 1.542770e+000  9.005500e+000  2.277175e+000
 1.545400e+000  1.165770e+001  2.293525e+000
 1.548040e+000  6.017100e+000  2.268665e+000
 1.550670e+000  7.463300e+000  2.267014e+000
 1.553300e+000  1.051330e+001  2.266789e+000
 1.555940e+000  9.716100e+000  2.255435e+000
